Geographic Area,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Page County, Iowa","15,932","15,946","15,921","15,898","15,702","15,516","15,483","15,462","15,329","15,213","15,229","15,107"
".Palo Alto County, Iowa","9,421","9,421","9,398","9,354","9,279","9,164","9,120","9,140","9,034","9,052","8,903","8,886"
".Plymouth County, Iowa","24,986","24,984","24,975","24,818","24,830","24,931","24,911","24,899","25,180","25,060","25,024","25,177"
".Pocahontas County, Iowa","7,310","7,310","7,289","7,204","7,143","7,112","7,097","6,967","6,854","6,833","6,714","6,619"
".Polk County, Iowa","430,640","430,631","432,352","438,737","444,671","452,657","460,898","467,304","474,277","480,487","485,833","490,161"
".Pottawattamie County, Iowa","93,158","93,149","93,363","93,498","92,916","92,855","93,258","93,563","93,518","93,416","93,264","93,206"
".Poweshiek County, Iowa","18,914","18,915","18,925","18,896","18,728","18,606","18,608","18,358","18,279","18,334","18,467","18,504"
".Ringgold County, Iowa","5,131","5,130","5,113","5,049","5,027","4,971","4,961","4,977","4,985","5,024","4,940","4,894"
".Sac County, Iowa","10,350","10,350","10,354","10,222","10,161","10,030","10,048","9,966","9,816","9,803","9,705","9,721"
".Scott County, Iowa","165,224","165,223","165,272","166,629","168,347","170,201","171,310","171,903","172,135","172,448","172,803","172,943"
".Shelby County, Iowa","12,167","12,169","12,174","11,992","12,024","11,899","11,878","11,789","11,655","11,574","11,559","11,454"
".Sioux County, Iowa","33,704","33,704","33,754","34,016","34,282","34,503","34,635","34,754","34,944","34,781","34,802","34,855"
".Story County, Iowa","89,542","89,542","89,654","91,136","92,003","93,877","95,802","96,636","96,893","97,278","96,781","97,117"
".Tama County, Iowa","17,767","17,767","17,719","17,614","17,501","17,430","17,309","17,217","17,192","17,029","16,869","16,854"
".Taylor County, Iowa","6,317","6,317","6,322","6,304","6,260","6,233","6,175","6,246","6,213","6,095","6,160","6,121"
".Union County, Iowa","12,534","12,534","12,513","12,556","12,586","12,616","12,627","12,430","12,360","12,459","12,298","12,241"
".Van Buren County, Iowa","7,570","7,571","7,577","7,513","7,449","7,434","7,390","7,296","7,241","7,155","7,013","7,044"
